FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
95,2025,2,389002,38530000,1400,C,F,F,F,F,56,2.248,4.078,9,0,55.6,4,2944.9996,US-19/US-27/SR-20,N HELEN ST,38,Taylor,2,2944.99956318652
96,2025,5,707074,70021000,13600,S,F,F,F,2,734,0,2.661,9,0,54.8,5.4,4281.4316,FISKE BLVD,US-1,70,Brevard,5,4281.43162918675
97,2025,1,014248,01000017,6100,S,F,F,F,F,994,0,0.474,9,0,53.1,16.3,767.4534,US-41/SR-45,COOPER ST,01,Charlotte,1,767.453423739396
98,2025,6,876233,87260283,13000,C,F,F,W,A,247,0,0.182,8,0,99.9,1.9,294.5621,SR-968 / W FLAGLER S,RAMP 87260325,87,Miami-Dade,6,294.562126384586
99,2025,2,370060,37040000,5100,C,F,F,F,F,780,14.846,22.689,9.5,0,56.1,15.3,12617.9729,CR-252,N/A,37,Suwannee,2,12617.9729311419
100,2025,7,977451,14470051,5100,C,F,F,W,F,622,0,0.353,9.5,0,99.9,12.2,565.1708,RIDGE RD,SR 589 SB,14,Pasco,8,565.170791109571
101,2025,7,145305,14000129,21500,C,F,F,F,F,2129,0,1.006,9,0,55.7,9.9,1619.8726,BLANTON RD,POWERLINE RD,14,Pasco,7,1619.87256855097
102,2025,1,017034,01075318,2000,S,F,F,W,F,190,0,0.31,9,0,99.9,9.5,498.7073,I-75 / SR 93 SB OFF,CR776A/HARBORVIEW WB,01,Charlotte,1,498.707253106351
103,2025,5,702052,70225096,6700,S,F,F,W,2,476,0,0.276,9,0,99.9,7.1,442.2109,I-95 NB,SR-46,70,Brevard,5,442.210878083416
104,2025,5,700002,70150000,11300,F,F,F,F,2,701,5.823,7.392,9,0,54.8,6.2,2525.0163,I-95/SR-9 SB,US-1,70,Brevard,5,2525.01626571687
105,2025,7,146014,14000062,3300,X,F,F,F,F,502,0,1.006,9,0,55.7,15.2,1623.2376,TUCKER RD,SR-54,14,Pasco,7,1623.23758569922
106,2025,1,014058,01000081,10600,S,F,F,F,F,1728,0,2.352,9,0,53.1,16.3,3790.3153,EDGEWATER DR,COCHRAN BLVD,01,Charlotte,1,3790.3153023661
107,2025,5,702000,70220072,4400,T,F,F,W,F,216,0,0.253,9,0,99.9,4.9,409.8298,I-95 NB,SR-514,70,Brevard,5,409.829757034063
108,2025,2,380011,38060000,3100,C,F,F,F,F,124,0,2.646,9,0,55.6,4,4268.5636,US-19/SR-55,US-27/SR-20,38,Taylor,2,4268.56360955224
109,2025,5,705159,70010000,26500,F,F,F,F,1,1325,12.964,13.923,9,0,54.8,5,1542.9906,PORT MALABAR BLVD,CR-516/PALM BAY RD,70,Brevard,5,1542.99058342943
110,2025,7,140029,14010000,45000,C,F,F,F,F,6840,3.919,4.976,9,0,55.7,15.2,1700.7419,HALE RD,CR-583/EHREN CUTOFF,14,Pasco,7,1700.74191912803
111,2025,7,029027,02000032,1750,C,F,F,F,F,159,0,2.989,9,0,52.8,9.1,4805.1286,N ESSEX AVE,N CROFT AVE,02,Citrus,7,4805.1286172647
112,2025,5,778027,77000065,10600,F,F,F,F,F,1060,0,0.218,9,0,53.3,10,355.6803,DOUGLAS AVE 77000051,SR-434,77,Seminole,5,355.680297113526
113,2025,5,702092,70070041,4400,T,F,F,W,F,194,0,0.142,9,0,99.9,4.4,221.231,SR-528 EB,N BANANA RIVER DR,70,Brevard,5,221.230958280707
114,2025,7,142716,14140019,14500,E,F,F,W,F,812,0,0.339,8,0,99.9,5.6,548.1707,SR-56,N/A,14,Pasco,7,548.170686281295
115,2025,7,145118,14000119,57000,C,F,F,F,F,4617,0,0.736,9,0,55.7,8.1,1184.7765,SR-54,N/A,14,Pasco,7,1184.77645165893
116,2025,1,010002,01060000,17000,F,F,F,F,F,1003,4.99,9.23,9,0,53.1,5.9,6842.9986,ROTUNDA BLVD  W,PINE ST,01,Charlotte,1,6842.99862545215
117,2025,5,778095,77000239,5300,F,F,F,F,F,440,0,0.859,9,0,53.3,8.3,1379.433,HOLLIDAY AVE,SR 436,77,Seminole,5,1379.43302985072
118,2025,5,700424,70120000,13200,S,F,F,F,2,1940,0.923,2.273,9,0,54.8,14.7,2173.0178,FROM EAU GALLIE BL,N/A,70,Brevard,5,2173.01778316865
119,2025,5,702126,70080007,1800,T,F,F,W,F,79,0,0.14,9,0,99.9,4.4,226.8954,GEORGE KING BLVD,SR A1A,70,Brevard,5,226.895438313823
120,2025,7,970601,02470000,10600,C,D,D,D,F,1293,4.329,12.171,9.5,0,56.2,12.2,12620.3351,N/A,SR 44,02,Citrus,8,12620.3351311464
121,2025,1,014062,01000031,4300,F,F,F,F,F,701,0,2.316,9,0,53.1,16.3,3720.9146,201' E/O BR# 014143,N/A,01,Charlotte,1,3720.91458029511
122,2025,2,379132,37508000,850,T,F,F,F,F,43,0,2.315,9.5,0,56.1,5,3721.9796,CR-137,COLUMBIA CO LINE,37,Suwannee,2,3721.979609562
123,2025,7,145507,14610000,28500,C,F,F,F,A,969,2.626,4.509,9,0,55.7,3.4,3024.5325,CHANCEY RD,SR-54,14,Pasco,7,3024.5325036391
124,2025,7,149608,14000199,6000,R,F,F,F,F,912,2.26,5.3,9,0,55.7,15.2,4905.5735,SUNLAKE BLVD,N/A,14,Pasco,7,4905.57351109029
125,2025,2,719125,71000031,10500,C,F,F,F,F,137,0,0.51,9,0,52.7,1.3,818.686,CR-220,SR-21/BLANDING BLVD,71,Clay,2,818.686033851515
126,2025,7,145106,14120000,35000,C,F,F,F,A,3745,23.381,26.634,9,0,55.7,10.7,5234.328,14140005 SB ON,CR-577/CURLEY ST,14,Pasco,7,5234.32797058461
127,2025,2,379123,37000044,200,V,F,F,F,F,10,0,4.612,9.5,0,56.1,5,7421.0681,SR-51,165TH RD,37,Suwannee,2,7421.06806124999
128,2025,1,010004,01050000,28500,F,F,F,F,1,3021,16.457,17.562,9,0,53,10.6,1777.3866,TOLEDO BLADE BLVD,US-41/SR-45,01,Charlotte,1,1777.38657181359
129,2025,6,876248,87260400,16500,C,F,F,W,A,2541,0,0.132,8,0,99.9,15.4,216.6948,SR-934/NW 74 ST,NW 74 ST,87,Miami-Dade,6,216.694785005788
130,2025,5,778038,77000210,23000,F,F,F,F,F,2300,0,3.623,9,0,53.3,10,5830.5967,RED CLEVELAND BLVD,SR 46,77,Seminole,5,5830.5967461406
131,2025,2,399109,39550000,600,X,F,F,F,F,55,0,4.654,9.5,0,52.3,9.1,7489.4775,SW CR-241,W SR-238,39,Union,2,7489.47748963705
132,2025,5,700090,70050000,9900,S,F,F,F,2,1198,0,9.831,9.5,0,54.8,12.1,15818.5385,OSCEOLA CO LINE,I-95/SR-9,70,Brevard,5,15818.5384649303
133,2025,7,020043,02010000,15400,C,F,F,F,F,1448,23.552,29.816,9,0,52.8,9.4,10072.9368,CR-491/N LECANTO HWY,N/A,02,Citrus,7,10072.9367990701
134,2025,7,029046,02000074,650,C,F,F,F,F,59,0,0.382,9.5,0,52.8,9.1,611.8301,W OAKHILL ST,N RIVERBEND RD,02,Citrus,7,611.830138531842
135,2025,2,374414,37120015,250,C,F,F,W,F,67,0,0.263,9.5,0,99.9,26.9,423.9058,CR-137,I-10 WB,37,Suwannee,2,423.905797216337
136,2025,7,145504,14570000,51500,C,F,F,F,A,3914,5.137,8.115,9,0,55.7,7.6,4802.4638,N/A,MARATHON DR,14,Pasco,7,4802.46379140559
137,2025,7,146009,14000178,950,X,F,F,F,F,144,0,0.72,9,0,55.7,15.2,1157.6147,20 ST,MEADOWOOD LOOP,14,Pasco,7,1157.61471947121
138,2025,7,020011,02050000,35000,C,F,F,F,A,3745,13.564,15.906,9,0,52.8,10.7,3770.4422,S CROFT AVE,C581/S PLEASNT GR RD,02,Citrus,7,3770.44215920881
139,2025,5,707085,70520000,27500,F,F,F,F,1,1018,0.775,2.516,9,0,54.8,3.7,2804.4986,N/A,PALM BAY RD,70,Brevard,5,2804.49864659259
140,2025,5,702015,70220054,8400,S,F,F,W,2,991,0,0.196,9,0,99.9,11.8,314.9226,SR-518,I-95 SB,70,Brevard,5,314.922587624306
141,2025,7,145028,14050000,19600,C,F,F,F,F,1940,4.936,5.74,9,0,55.7,9.9,1293.4266,5 AVE,6 ST,14,Pasco,7,1293.42660857946
142,2025,7,149057,14000082,2500,R,F,F,F,F,180,0,3.897,9,0,55.7,7.2,6268.5903,NEW YORK AVE,CR-595/ARIPEKA RD,14,Pasco,7,6268.59026465141
143,2025,1,014461,01000565,4800,C,F,F,F,F,2448,0,2.095,9,0,53.1,51,3387.3145,CR-775/PLACIDA RD,SR-776/S MC CALL RD,01,Charlotte,1,3387.31446602294
144,2025,6,876262,87260318,16500,F,F,F,W,1,759,0,0.192,8,0,99.9,4.6,309.145,NW 122 ST/W 68 ST EB,SR-826 PALMETTO SB,87,Miami-Dade,6,309.144965055135
145,2025,5,702037,70225062,750,S,F,F,W,2,47,0,0.344,9,0,99.9,6.2,555.0286,RAMP 70225061,SR 528 WB,70,Brevard,5,555.028620623919
146,2025,2,389113,38530000,950,C,F,F,F,F,38,0,1.269,9.5,0,55.6,4,2042.1337,CR-359/PAUL POPPELL,CR-356B/MILLER RD,38,Taylor,2,2042.13369224266
147,2025,5,700412,70020000,42000,F,F,F,F,1,2562,9.645,16.269,9,0,54.8,6.1,10656.357,N/A,COQUINA RD,70,Brevard,5,10656.356956505
148,2025,7,029030,02000035,2100,C,F,F,F,F,191,0,1.387,9,0,52.8,9.1,2230.049,S PLEASANT GROVE RD,S APOPKA AVE,02,Citrus,7,2230.0489740665
149,2025,5,778019,77000056,11400,F,F,F,F,F,1140,0,3.781,9,0,53.3,10,6082.6763,RED BUG LAKE RD,SR 434,77,Seminole,5,6082.67626329637
150,2025,2,370103,37040000,14400,C,F,F,F,A,677,25.322,26.384,9,0,56.1,4.7,1708.675,HAMILTON ST,72ND TRCE,37,Suwannee,2,1708.67497153772
