FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
8808,12000239,18,0,3.428,5519.2432,1,12,Lee,1,5519.24324821306
8809,16180000,14,0,31.994,51511.0481,1,16,Polk,1,51511.0480518886
8810,87000195,17,0,0.695,1118.315,6,87,Miami-Dade,6,1118.31495579729
8811,87000251,17,0,1.431,2304.5515,6,87,Miami-Dade,6,2304.55148412429
8812,93561000,18,0,1.41,2270.0057,4,93,Palm Beach,4,2270.00570651859
8813,16030000,04,0.166,5.788,9058.3322,1,16,Polk,1,9058.33215589361
8814,87000124,17,0,1.567,2549.3438,6,87,Miami-Dade,6,2549.34381575658
8815,86000104,17,0,1.784,2867.9826,4,86,Broward,4,2867.98257832043
8816,57010000,06,18.154,25.706,12198.1095,3,57,Okaloosa,3,12198.1095049716
8817,12000573,17,0,0.32,515.2043,1,12,Lee,1,515.204311766075
8818,79910000,19,0,0.145,233.6228,5,79,Volusia,5,233.622777975266
8819,12000213,18,0.604,1.004,648.2894,1,12,Lee,1,648.289368077642
8820,72300001,16,0,0.317,506.2575,2,72,Duval,2,506.25751899222
8821,87000179,17,0,0.43,688.2717,6,87,Miami-Dade,6,688.271650332398
8822,12000590,17,0,3.116,5028.6312,1,12,Lee,1,5028.63117314418
8823,31563000,07,0,1.482,2387.8246,2,31,Gilchrist,2,2387.8245670981
8824,93552000,17,0,2.009,3227.671,4,93,Palm Beach,4,3227.67098798358
8825,16020000,17,0.38,0.88,805.0174,1,16,Polk,1,805.017416237678
8826,29560000,07,0,9.129,14703.4156,2,29,Columbia,2,14703.4155605594
8827,86000083,19,0,1.595,2561.8029,4,86,Broward,4,2561.80288366595
8828,93674000,18,0,2.184,3514.7247,4,93,Palm Beach,4,3514.72471486742
8829,79527000,14,0,5.297,8394.845,5,79,Volusia,5,8394.84497864711
8830,87000103,17,0,2.73,4390.812,6,87,Miami-Dade,6,4390.81204876797
8831,86000026,19,0,0.504,810.5437,4,86,Broward,4,810.543721037387
8832,93660000,18,0,0.708,1140.2834,4,93,Palm Beach,4,1140.28335725205
8833,12020000,14,0.168,0.246,125.6756,1,12,Lee,1,125.675630606073
