FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
3102,48004000,C,02,N/A,N/A,ESCAMBIA COUNTY,CR 298A (JACKSON ST),029,N/A,03,N/A,ON,2.754,3,48,Escambia,3,-107335.578799999,3382045.1038
3103,70010000,C,02,01-JAN-1950,SR 5(US 1),MALABAR,JORDON BL,70026,N/A,03,02,ON,9.843,5,70,Brevard,5,543860.164700001,3095457.8048
3104,93280000,C,02,N/A,N/A,N/A,MILITARY TRAIL,27850,N/A,03,02,ON,5.564,4,93,Palm Beach,4,588450.7973,2954267.9794
3105,75035001,C,02,21-JUN-2017,SR535(APOPKAVINELAND,ORANGE COUNTY,INTERNATIONAL DR,75457,N/A,01,N/A,ON,0.642,5,75,Orange,5,451540.037300001,3136578.7073
3106,86006000,C,02,03-JUL-1975,N/A,N/A,SW 46 AVE/CNTRY CLUB,2178,N/A,01,N/A,ON,2.637,4,86,Broward,4,578976.3674,2889310.4468
3107,10002017,R,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.079,7,10,Hillsborough,7,356859.9371,3091771.5002
3108,92030000,C,N/A,N/A,SR500(US192/441-VINE,KISSIMMEE,SR500(US441/17/92OBT,N/A,02,N/A,N/A,ON,0,5,92,Osceola,5,460420.514300002,3130990.5508
3109,26004000,C,02,24-FEB-1983,N/A,CITY OF GAINESVILLE,"SR 329, S. MAIN ST.",N/A,N/A,03,N/A,ON,1.651,2,26,Alachua,2,371500.8229,3279147.8486
3110,78040000,C,02,01-APR-2008,N/A,ST. AUGUSTINE BEACH,A STREET,N/A,N/A,01,N/A,ON,12.646,2,78,St. Johns,2,473252.3928,3301608.9998
3111,13050101,C,02,N/A,SR 64  WB / MANATEE,BRADENTON,10TH ST W,475,N/A,01,N/A,ON,1.51,1,13,Manatee,1,344717.0625,3042291.4771
3112,16300000,C,N/A,29-JUL-1993,SR 540/CYPRESS GARDE,POLK,SR 25 / US 27,743,02,03,02,ON,7.244,1,16,Polk,1,437923.157100001,3095004.7518
3113,86090000,C,02,08-MAR-1983,N/A,N/A,SOMERSET DR,2296,N/A,03,02,ON,4.164,4,86,Broward,4,580973.336800002,2894234.2485
3114,55120002,C,02,N/A,N/A,LEON COUNTY,CRAWFORDVILLE HWY,024,N/A,01,N/A,ON,0.191,3,55,Leon,3,181734.023700001,3361935.1138
3115,88000011,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,OFF,0.314,4,88,Indian River,4,560655.3552,3054833.284
3116,15120000,C,02,22-MAR-1977,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.192,7,15,Pinellas,7,319613.9667,3085297.3435
3117,16003000,C,02,N/A,SR 563 / SIKES BLVD,LAKELAND,LK  WIRE DR,543,N/A,01,N/A,ON,0.323,1,16,Polk,1,405511.496500001,3102562.9133
3118,87053001,C,02,N/A,N/A,MIAMI-DADE,SR 7/SW 8 AV,2219,N/A,01,N/A,ON,1.726,6,87,Miami-Dade,6,579462.494500001,2850755.3697
3119,89030000,C,02,N/A,N/A,N/A,CARDINAL AVE,N/A,N/A,03,02,OFF,22.682,4,89,Martin,4,574500.280100001,3011064.4759
3120,87060000,C,02,N/A,N/A,MIAMI-DADE,95 ST,3319,N/A,01,N/A,ON,11.456,6,87,Miami-Dade,6,587901.6464,2863253.8879
3121,26005000,C,02,18-JUN-1996,N/A,ALACHUA COUNTY,NW 91ST STREET,N/A,N/A,03,N/A,ON,0.651,2,26,Alachua,2,360790.7126,3285171.7552
3122,78010000,C,N/A,01-JUL-1987,N/A,ST. JOHNS COUNTY,RIVERSIDE AVE,N/A,02,03,N/A,ON,15.054,2,78,St. Johns,2,468806.073800002,3304061.4819
3123,87002000,C,02,15-MAY-2004,N/A,MIAMI-DADE,NW 176 ST,6120,N/A,01,N/A,ON,7.122,6,87,Miami-Dade,6,570746.7607,2868472.5477
3124,87030000,C,02,21-AUG-2009,N/A,MIAMI-DADE,E FLAGLER ST,6357,N/A,01,N/A,ON,10.956,6,87,Miami-Dade,6,581492.149200001,2850947.924
3125,75270000,C,02,14-FEB-1991,SR 435(KIRKMAN RD),ORANGE COUNTY,SR 408 EB RAMPS,75433,N/A,01,N/A,ON,6.824,5,75,Orange,5,455274.508800001,3158042.7023
3126,75080101,C,02,03-APR-1987,SR 15EB(ANDERSON ST),ORLANDO,PRIMROSE DR,75326,N/A,03,02,ON,1.817,5,75,Orange,5,465979.654199999,3156844.6503
3127,87052000,C,05,N/A,N/A,MIAMI-DADE,N/A,5287,N/A,03,02,ON,2.987,6,87,Miami-Dade,6,580638.6489,2863133.2335
3128,12011000,C,N/A,N/A,SR 739 / METRO PKWY,LEE,SR 884/COLONIAL BLVD,247,02,04,02,ON,7.815,1,12,Lee,1,415330.32,2942082.8834
3129,12020000,C,04,N/A,SR 80/PALM BEACH BLV,LEE,DIVISION OF FORESTRY,329,N/A,03,02,ON,7.087,1,12,Lee,1,422647.028299999,2952980.1545
3130,72030000,C,02,13-AUG-1986,N/A,JACKSONVILLE,BIRMINGHAM,N/A,N/A,01,N/A,ON,2.195,2,72,Duval,2,432440.5767,3343436.9324
3131,87140000,C,N/A,N/A,N/A,MIAMI-DADE,SR 968/ FLAGER ST,2197,02,01,N/A,ON,0.532,6,87,Miami-Dade,6,579442.216500001,2850864.5982
3132,72291000,C,02,01-AUG-1983,N/A,JACKSONVILLE,PEARL ST,N/A,N/A,01,N/A,ON,11.351,2,72,Duval,2,436907.692600001,3361704.4952
3133,57030000,C,02,N/A,N/A,OKALOOSA CTY FW BEAC,BEAL PARKWAY,017,N/A,01,N/A,ON,11.15,3,57,Okaloosa,3,-39597.9464999987,3376968.2098
3134,75080000,C,05,19-MAY-2004,SR 15(CONWAY RD),ORANGE COUNTY,SHENNANDOAH ELEM,75312,N/A,01,N/A,ON,13.063,5,75,Orange,5,467628.7544,3150858.5138
3135,86220000,C,N/A,19-NOV-1971,N/A,N/A,PINES BLVD,3014,02,03,02,ON,2.583,4,86,Broward,4,575250.783000001,2876925.6543
