FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
361,79100000,03,5,79,Volusia,5,0,25.565,41135.3628,41135.3627766937
362,02040002,03,7,02,Citrus,7,0,0.024,47.3624,47.3623570758293
363,56010000,04,3,56,Liberty,3,1.908,20.97,30711.6092,30711.6092120679
364,16050000,05,1,16,Polk,1,3.367,4.367,1610.8716,1610.87164633338
365,76050000,03,2,76,Putnam,2,5.998,7.041,1677.9229,1677.92285909179
366,78030101,06,2,78,St. Johns,2,0,0.104,163.0981,163.098097737003
367,16180000,03,1,16,Polk,1,24.606,30.712,9838.2452,9838.24516018122
368,75473000,01,5,75,Orange,8,0,5.325,8589.5257,8589.52568249257
369,31010000,03,2,31,Gilchrist,2,8.499,17.73,14855.4653,14855.4652711012
370,93310000,03,4,93,Palm Beach,4,4.979,20.543,25028.448,25028.4479879241
371,47040000,04,3,47,Calhoun,3,0,15.599,25166.3709,25166.3708601839
372,26050000,03,2,26,Alachua,2,6.005,15.876,15875.9931,15875.9930654371
373,10150000,07,7,10,Hillsborough,7,9.792,12.85,4918.8433,4918.84333306564
374,12010000,05,1,12,Lee,1,23.252,25.623,3816.8212,3816.82120311049
375,87008000,05,6,87,Miami-Dade,6,2.045,3.114,1722.7558,1722.75582552717
376,01040201,03,1,01,Charlotte,1,1.673,4.425,4429.5649,4429.56490688534
377,75230000,05,5,75,Orange,5,4.622,5.077,732.3749,732.37494931375
378,52030000,03,3,52,Holmes,3,0,1.236,1992.9568,1992.95682145316
379,93110000,04,4,93,Palm Beach,4,4.473,22.905,29663.4786,29663.4786144517
380,72170000,06,2,72,Duval,2,4.112,8,6253.595,6253.59497407985
381,91070000,03,1,91,Okeechobee,1,0,7.163,11540.4882,11540.4881921563
382,72140000,03,2,72,Duval,2,7.851,8.354,809.6332,809.633234202333
383,90060002,04,6,90,Monroe,6,0,0.772,1241.1597,1241.15974757834
384,13130000,05,1,13,Manatee,1,0.115,0.22,169.3995,169.399480655462
385,17020000,06,1,17,Sarasota,1,0,0.65,1045.923,1045.92298046269
386,75020000,05,5,75,Orange,5,7.621,10.804,5122.2348,5122.2348363133
387,87021000,01,6,87,Miami-Dade,6,0,2.621,4218.3565,4218.35647301892
388,86220000,05,4,86,Broward,4,9.832,21.003,17970.6951,17970.6950832999
389,78002000,02,2,78,St. Johns,2,0,2.827,4554.3444,4554.34439961743
390,75300000,01,5,75,Orange,5,0,11.501,18507.888,18507.8879994126
391,79120000,06,5,79,Volusia,5,3.753,4.821,1718.5803,1718.58034654172
392,04020000,03,1,04,Desoto,1,0,9.558,15363.8534,15363.8533687205
393,59010000,04,3,59,Wakulla,3,9.337,9.568,371.5579,371.557868924123
394,72150001,07,2,72,Duval,2,0,0.09,144.653,144.653020163487
395,10030000,07,7,10,Hillsborough,7,19.176,21.65,3979.2146,3979.21458805283
396,12075000,01,1,12,Lee,1,0,34.138,54937.4526,54937.4526061521
397,76080000,06,2,76,Putnam,2,0,0.969,1559.3865,1559.38651221286
398,17070000,05,1,17,Sarasota,1,2.312,5.282,4773.0529,4773.0529436378
399,79181000,01,5,79,Volusia,5,0.376,0.644,432.4772,432.477213757292
400,75037000,03,5,75,Orange,5,2.5,3.126,1006.453,1006.45295740178
401,29040000,05,2,29,Columbia,2,0,1.293,2080.269,2080.26896017726
402,48020000,06,3,48,Escambia,3,10.545,11.244,1130.9948,1130.99484972435
403,28040000,04,2,28,Bradford,2,0,5.509,8859.8744,8859.87440422065
404,87260151,07,6,87,Miami-Dade,6,0,0.801,1283.9544,1283.95444101389
405,71050000,04,2,71,Clay,2,10.52,21.708,17992.1683,17992.168257184
406,26260048,07,2,26,Alachua,2,0,0.791,1277.3037,1277.30367036499
407,16119000,05,1,16,Polk,1,8.506,10.488,3192.8391,3192.8391499958
408,89030000,07,4,89,Martin,4,21.58,22.682,1774.2721,1774.27208038865
409,72090160,07,2,72,Duval,2,0.102,0.62,836.6274,836.627406389043
410,47010000,06,3,47,Calhoun,3,20.7,22.2,2417.3493,2417.34930054833
411,91020000,04,1,91,Okeechobee,1,5.524,31.733,42179.9192,42179.9191585027
412,72090350,01,2,72,Duval,2,0,0.604,971.9403,971.940260956144
413,10140103,01,7,10,Hillsborough,7,0,0.52,836.8875,836.887464026595
414,13040001,05,1,13,Manatee,1,0,0.158,256.251,256.250981602209
415,87010100,07,6,87,Miami-Dade,6,0,0.24,386.6762,386.676246310317
416,18070000,03,5,18,Sumter,5,0,17.957,28897.4374,28897.4374140834
417,03001000,05,1,03,Collier,1,5.917,6.487,918.1471,918.147122205816
418,86472000,01,4,86,Broward,8,0,21.835,35079.8736,35079.8735938788
419,27010000,04,2,27,Baker,2,19.099,19.658,899.4306,899.430594952361
420,06010000,03,1,06,Hardee,1,10.225,10.655,692.3023,692.302278889591
421,79080000,04,5,79,Volusia,5,10.615,16.726,9829.3308,9829.33080639134
422,16003001,05,1,16,Polk,1,6.136,10,6236.4426,6236.44262910053
423,56010000,04,3,56,Liberty,3,0,0.64,1034.0788,1034.0788137554
424,16030101,05,1,16,Polk,1,0,0.885,1422.4795,1422.47946190592
425,76010000,05,2,76,Putnam,2,26.6,28.66,3312.1312,3312.13116009153
426,78010000,05,2,78,St. Johns,2,11.484,18.692,11601.0698,11601.0698240108
427,16180000,02,1,16,Polk,1,30.712,31.97,2026.8591,2026.85913904484
428,57110000,06,3,57,Okaloosa,3,0,2.855,4609.5328,4609.53282266425
429,35050000,06,2,35,Madison,2,11.669,12.31,1032.2459,1032.24586315822
430,93310000,04,4,93,Palm Beach,4,0,4.979,8006.7696,8006.76956005729
431,48130000,04,3,48,Escambia,3,0.61,22.507,35235.9781,35235.9781145112
432,26030000,04,2,26,Alachua,2,0,3.174,5105.5241,5105.52414358818
433,10120000,05,7,10,Hillsborough,7,0,6.063,9752.3141,9752.31407279193
434,13010000,06,1,13,Manatee,1,2.137,2.55,668.4965,668.496457531484
